DateReceived,Product,SubProduct,Issue,SubIssue,ConsumerComplaint,CompanyPublicResponse,Company,State,ZipCode,SubmittedVia,DateSentCompany,CompanyResponseConsumer,TimelyResponseSts,ConsumerDisputedSts,ComplaintId
2011-12-30,Credit card,,APR or interest rate,,,,Capital One,SC,29385,Web,2012-01-03,Closed without relief,Yes,No,7646
2011-12-30,Credit card,,APR or interest rate,,,,Citibank,ME,4357,Phone,2012-01-04,Closed with relief,Yes,No,8768
2011-12-30,Credit card,,Balance transfer,,,,Bank of America,PA,17033,Web,2011-12-30,Closed without relief,Yes,No,8760
2011-12-30,Credit card,,Billing disputes,,,,Citibank,CA,91106,Web,2011-12-30,Closed without relief,Yes,Yes,78464
2011-12-30,Credit card,,Billing disputes,,,,TD Bank,SD,57703,Web,2012-01-03,Closed without relief,Yes,No,8898
2011-12-30,Credit card,,Cash advance fee,,,,Discover,TN,37343,Web,2012-01-03,Closed without relief,Yes,No,8844
2011-12-30,Credit card,,Closing/Cancelling account,,,,U.S. Bancorp,CA,95843,Web,2012-01-03,Closed with relief,Yes,No,8904
2011-12-30,Credit card,,Collection practices,,,,JPMorgan Chase,KS,66442,Web,2012-01-06,Closed without relief,Yes,No,8929
2011-12-30,Credit card,,Credit line increase/decrease,,,,Discover,TX,77077,Referral,2012-01-03,Closed without relief,Yes,No,9253
2011-12-30,Credit card,,Credit reporting,,,,U.S. Bancorp,ME,4092,Referral,2012-01-05,Closed with relief,Yes,No,8853
2011-12-30,Credit card,,Customer service / Customer relations,,,,Capital One,FL,33177,Referral,2011-12-30,Closed without relief,Yes,No,8875
2011-12-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,Discover,OH,44121,Phone,2012-01-04,Closed without relief,Yes,No,8757
2011-12-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMorgan Chase,,,Referral,2011-12-30,Closed without relief,Yes,No,69712
2011-12-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,USAA Savings,TX,78288,Referral,2011-12-30,Untimely response,No,,4269
2011-12-30,Credit card,,Other,,,,Capital One,NY,11374,Web,2011-12-30,Closed with relief,Yes,No,8729
2011-12-30,Credit card,,Other,,,,Discover,NY,10016,Phone,2012-01-04,Closed without relief,Yes,No,8743
2011-12-30,Credit card,,Privacy,,,,JPMorgan Chase,TX,75074,Web,2012-01-03,Closed with relief,Yes,Yes,8927
2011-12-30,Credit card,,Transaction issue,,,,Wells Fargo,FL,33414,Web,2011-12-30,Closed with relief,Yes,No,5918
2011-12-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Bank of America,CA,92081,Web,2012-01-03,Closed without relief,Yes,No,8899
2011-12-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,NY,10940,Web,2011-12-30,Closed without relief,Yes,Yes,8775
2011-12-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,TX,78752,Web,2012-03-23,Closed without relief,Yes,No,8963
2011-12-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo,TX,77550,Web,2012-01-03,Closed without relief,Yes,No,8914
2011-12-30,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo,MN,55068,Web,2012-01-03,Closed without relief,Yes,Yes,8804
2011-12-31,Credit card,,Billing disputes,,,,Citibank,NC,28443,Web,2012-01-03,Closed with relief,Yes,No,5171
2011-12-31,Credit card,,Billing disputes,,,,JPMorgan Chase,MD,21128,Web,2012-01-03,Closed with relief,Yes,No,8978
2011-12-31,Credit card,,Collection practices,,,,U.S. Bancorp,TX,78734,Web,2012-01-03,Closed without relief,Yes,No,4221
2011-12-31,Credit card,,Credit reporting,,,,Citibank,MD,20910,Web,2012-01-03,Closed with relief,Yes,No,8990
2011-12-31,Credit card,,Customer service / Customer relations,,,,Capital One,NY,14467,Web,2012-01-03,Closed without relief,Yes,No,8968
2011-12-31,Credit card,,Late fee,,,,Wells Fargo,NY,14094,Web,2012-01-03,Closed with relief,Yes,No,8987
2011-12-31,Credit card,,Payoff process,,,,Citibank,CA,94403,Web,2012-01-03,Closed with relief,Yes,No,9002
2011-12-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,JPMorgan Chase,MD,20852,Web,2012-01-03,Closed without relief,Yes,Yes,8993
2011-12-31,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Citibank,CA,94526,Web,2012-01-03,Closed without relief,Yes,No,9000
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,GA,30809,Web,2012-01-03,Closed without relief,Yes,No,8975
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MA,1864,Web,2012-01-04,Closed without relief,Yes,Yes,8983
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MA,1864,Web,2012-02-02,Closed without relief,Yes,Yes,8985
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,94520,Web,2012-01-03,Closed without relief,Yes,No,9014
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase,MO,65685,Web,2012-01-03,Closed without relief,Yes,No,9001
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,TX,78575,Web,2012-01-03,Closed without relief,Yes,Yes,9011
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,FL,32097,Web,2012-03-23,Closed without relief,Yes,No,9012
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Flagstar Bank,NJ,8021,Web,2012-01-04,Closed without relief,Yes,No,8999
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank,VA,22032,Web,2012-01-03,Closed without relief,Yes,No,8974
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank,VA,22032,Web,2012-01-04,Closed with relief,Yes,No,8973
2011-12-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,93438,Web,2012-03-23,Closed without relief,Yes,No,8969
2011-12-31,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MN,55428,Web,2012-01-03,Closed without relief,Yes,No,8995
2011-12-31,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,EverBank,WA,98177,Web,2012-01-03,Closed without relief,Yes,No,9003
2011-12-31,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo,NC,28205,Web,2012-01-04,Closed without relief,Yes,No,8964
2011-12-31,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,First Tennessee Bank,MA,1864,Web,2012-01-17,Closed without relief,Yes,No,8981
2011-12-31,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,PNC Bank,PA,15221,Web,2012-01-03,Closed with relief,Yes,No,8979
2011-12-31,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase,TX,78258,Web,2012-01-04,Closed without relief,Yes,No,8998
2011-12-31,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,CA,92337,Web,2012-01-03,Closed with relief,No,No,9010
2012-12-20,Credit card,,APR or interest rate,,,,Amex,MD,20853,Web,2012-12-26,Closed with explanation,Yes,No,214420
2012-12-20,Credit card,,Advertising and marketing,,,,Barclays,NY,11206,Referral,2012-12-27,Closed with explanation,Yes,No,214899
2012-12-20,Credit card,,Advertising and marketing,,,,JPMorgan Chase,CO,80215,Referral,2013-02-05,Closed with non-monetary relief,Yes,No,215235
2012-12-20,Credit card,,Application processing delay,,,,U.S. Bancorp,MA,2152,Postal mail,2012-12-20,Closed with explanation,Yes,No,214416
2012-12-20,Credit card,,Billing disputes,,,,First National Bank of Omaha,SD,57332,Referral,2012-12-26,Closed with monetary relief,Yes,No,215001
2012-12-20,Credit card,,Closing/Cancelling account,,,,Capital One,NY,11215,Web,2012-12-27,Closed with monetary relief,Yes,No,215021
2012-12-20,Credit card,,Collection debt dispute,,,,Citibank,PA,19082,Web,2012-12-20,Closed with explanation,Yes,No,215304
2012-12-20,Credit card,,Credit reporting,,,,Citibank,CA,92262,Referral,2012-12-26,Closed with explanation,Yes,No,215233
2012-12-20,Credit card,,Late fee,,,,Wells Fargo,FL,32771,Referral,2012-12-26,Closed with explanation,Yes,No,214996
2012-12-20,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,KeyBank NA,CA,92646,Referral,2012-12-26,Closed with monetary relief,No,No,214333
2012-12-21,Credit card,,Advertising and marketing,,,,Capital One,IL,60193,Phone,2012-12-26,Closed with monetary relief,Yes,No,216649
2012-12-21,Credit card,,Advertising and marketing,,,,GE Capital Retail,CA,91108,Fax,2012-12-21,Closed with explanation,Yes,No,215434
2012-12-21,Credit card,,Bankruptcy,,,,Bank of America,FL,34112,Web,2012-12-21,Closed with explanation,Yes,No,214746
2012-12-21,Credit card,,Bankruptcy,,,,Capital One,NJ,8051,Referral,2012-12-26,Closed with explanation,Yes,No,215344
2012-12-21,Credit card,,Billing disputes,,,,Bank of America,VA,24104,Referral,2012-12-27,Closed with explanation,Yes,No,216697
2012-12-21,Credit card,,Billing disputes,,,,Capital One,CA,95829,Web,2012-12-27,Closed with non-monetary relief,Yes,No,216750
2012-12-21,Credit card,,Billing disputes,,,,Capital One,NC,28380,Web,2012-12-21,Closed with explanation,Yes,No,215595
2012-12-21,Credit card,,Billing disputes,,,,Citibank,NJ,8846,Referral,2012-12-27,Closed with monetary relief,Yes,No,215382
2012-12-21,Credit card,,Billing disputes,,,,Citibank,PA,15143,Referral,2012-12-26,Closed with explanation,Yes,No,215411
2012-12-21,Credit card,,Billing disputes,,,,Citibank,WA,98665,Web,2012-12-27,Closed with explanation,Yes,Yes,216399
2012-12-21,Credit card,,Billing disputes,,,,Discover,OK,73165,Referral,2012-12-26,Closed with explanation,Yes,No,216445
2012-12-21,Credit card,,Billing disputes,,,,Wells Fargo,FL,34669,Web,2012-12-21,Closed with monetary relief,Yes,No,216582
2012-12-21,Credit card,,Billing disputes,,,,Wells Fargo,WI,53403,Referral,2012-12-27,Closed with non-monetary relief,Yes,No,216665
2012-12-21,Credit card,,Billing statement,,,,GE Capital Retail,FL,34292,Referral,2012-12-28,Closed with explanation,Yes,No,216463
2012-12-21,Credit card,,Closing/Cancelling account,,,,Capital One,IA,50014,Web,2012-12-21,Closed with monetary relief,Yes,No,216524
2012-12-21,Credit card,,Closing/Cancelling account,,,,Citibank,CT,6516,Referral,2012-12-27,Closed with monetary relief,Yes,No,216662
2012-12-21,Credit card,,Credit card protection / Debt protection,,,,Bank of America,FL,33165,Referral,2012-12-27,Closed with explanation,Yes,Yes,216702
2012-12-21,Credit card,,Credit determination,,,,Amex,GA,30319,Web,2012-12-27,Closed with explanation,Yes,Yes,214745
2012-12-21,Credit card,,Customer service / Customer relations,,,,Capital One,TX,78108,Referral,2012-12-27,Closed with explanation,Yes,No,215387
2012-12-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays,GA,30909,Web,2012-12-21,Closed with explanation,Yes,No,216622
2012-12-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,MI,48201,Web,2012-12-21,Closed with explanation,Yes,No,215315
2012-12-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,Citibank,IL,60629,Referral,2012-12-27,Closed with monetary relief,Yes,No,215384
2012-12-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,Discover,MD,21217,Web,2012-12-21,Closed with monetary relief,Yes,No,216379
